Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,reviewer_nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review
354 Queenstown Road Battersea London SW8 4AE United Kingdom,568,9/19/2015,8.6,Pestana Chelsea Bridge Hotel Spa, United Kingdom ,0,1686,20,2,3.8,"[' Leisure trip ', ' Solo traveler ', ' Deluxe King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",684 day,51.4815995,-0.1481053,No Negative  Extremely corporate Nothing remotely personal about it and I ve received spam phone calls ever since booking with them
Sch nbrunner Stra e 41 05 Margareten 1050 Vienna Austria,144,9/10/2015,8.4,Arthotel ANA Prime, Romania ,248,1813,8,1,4.6,"[' Leisure trip ', ' Family with older children ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",693 day,48.1925582,16.3576071, The bathroom smelt terrible because of the savarage the parking lot was far from the hotel 15 euros per night about 10 minutes of walking by feet it is terrible if you have luggage and if you park the car in front of the hotel the police blocks it immediatly you only have 15 mins when checking in and if you run out of them you may pay a bi amend Also the breakfast was not fresh I believe that the croissants weren t changed every morning but when eaten by the guests also there was no meat except some cheap crenwurst and a little salami we went to breakfast atabout 9 in the morning so we didnt catch any we havent seen any bacon and the water wasnt good for being consumed it seemed like it was from the sink because of the chlorine smell The rooms had dirty walls and two holes There wasnt any painting on the walls not even on the hall of the hotel We took photos but we cant post them here it was like sanatory ironically the name is La Prima Fashion The bathroom smell cant be expressed in words but after taking a bath in a 4 stars hotel from Budapest we were trying to avoid the bathroom The staff was ok but cold with us like we were talking to robots All in all we have to say that the price service raport was totally not ok   We didnt like anything in particular 
Viale Tunisia 9 Central Station 20124 Milan Italy,132,4/10/2016,8.1,Best Western Hotel St George, Italy ,2,1700,2,1,3.8,"[' Leisure trip ', ' Family with older children ', ' Standard Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",480 day,45.4770906,9.2054208, Standard  Location
1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,1058,3/14/2017,7.7,The Park Grand London Paddington, Ireland ,8,4380,2,1,2.9,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",142 day,51.5142184,-0.1809032, Very basic accommodation not value for money  Nothing
Via Lorenteggio 278 Lorenteggio 20152 Milan Italy,99,9/1/2016,7.0,IH Hotels Milano Lorenteggio, Germany ,108,2181,44,1,4.6,"[' Leisure trip ', ' Couple ', ' Double Room with Two Double Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']",336 day,45.4436132,9.1161094, Everything in the room ist old in consideration of the price this hotel posted was acceptable But the cleanliness was unacceptable I found a ball of hair on the floor in front of the mirror and the bath was absolute horror The white bath curtain is yellow and stinky shower head is full with dirt I was not sure after shower did I get more clean or dirty Based on this shower I would never ever give 4 stars to this hotel this is unacceptable in any hotel of any level It is so easy to change these two things I hope they can improve this   This hotel is out of the city therefore it is also quite Just about 100m away are tram station and bus station drive direct to the center free parking in the underground garage Breakfast was good Free Wi Fi is quite fast 
La Rambla 109 Ciutat Vella 08002 Barcelona Spain,221,5/15/2016,9.2,Hotel 1898, Canada ,3,1436,12,1,4.0,"[' Business trip ', ' Solo traveler ', ' Privilege Double or Twin Room with Spa Access ', ' Stayed 1 night ', ' Submitted from a mobile device ']",445 day,41.3834673,2.1712016, Room service  Awful room service check out at 11am Rude night re eptionisy
35 Rue Caumartin 9th arr 75009 Paris France,211,10/15/2015,8.9,Hotel Saint Petersbourg Opera, France ,50,2412,0,1,3.8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",658 day,48.872174,2.328075, We accidentally left a pair of shoes converse in leather almost new in the room Call the hotel on the same night of check out and the next morning The hotel claimed that they have never found anything left in the room Lack of honesty lack of security  No Positive
628 Western Avenue London W3 0TA United Kingdom,131,6/23/2017,8.9,Park Plaza London Park Royal, United Kingdom ,54,425,8,1,4.2,"[' Business trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",41 days,51.527262,-0.282992, I tried to call the reception to get me tooth brushes and tooth paste but the receptions kept cut me off so We couldn t even brush our teeth The products inside the bathroom were missing as well as sleepers and that wasn t good enough service for the price we payed   I like the location of property 
173 185 Greenwich High Rd Greenwich London SE10 8JA United Kingdom,274,3/27/2017,8.6,Novotel London Greenwich, United Kingdom ,59,924,13,1,2.5,"[' Leisure trip ', ' Couple ', ' Executive Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",129 day,51.4778583,-0.0137463, I did not like the fact me and my husband paid 200 00 for a executive room which had been used by somebody else bed slept in and the room was dirty We was advised that room was clean We have pictures to tell otherwise It was disgusting I have a great deal of pictures to attache   Hated every minute at that hotel Unfortunately did not like anything 
Westeinde 26 Amsterdam City Center 1017 ZP Amsterdam Netherlands,404,5/6/2017,8.4,Boutique Hotel Notting Hill, Greece ,34,2085,4,1,3.8,"[' Business trip ', ' Couple ', ' Souterrain Double Room ', ' Stayed 1 night ']",89 days,52.3583821,4.8988777, We paid EUR 227 to give us a small room in the basement Loud noise from the air conditioner without being turned on All night we heard steps and doors close tight   Good breakfast 
Webgasse 23 06 Mariahilf 1060 Vienna Austria,228,5/8/2016,8.2,Arthotel ANA Boutique Six, United Arab Emirates ,21,3498,20,1,2.5,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",452 day,48.1941905,16.3462578, Not clean Unpleasant device One towel in the room No even toilet paper in the washroom Very expensive Unfriendly staff  It is a mediocre building and it is actually not a fair statement to call it a hotel 
97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,854,6/26/2016,7.8,Holiday Inn London Kensington Forum, Nigeria ,26,3867,3,1,3.8,"[' Leisure trip ', ' Group ', ' Twin Room Non Smoking ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",403 day,51.4942305,-0.1851141, The rooms are terrible Wifi is for two devices only The rooms are awful aurconditioning doesnt work well The furniture everywhere is old and disgusting  The location
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,11/3/2016,7.1,Britannia International Hotel Canary Wharf, United Kingdom ,7,9086,8,17,4.6,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 2 nights ']",273 day,51.5019097,-0.0232208, Rooms uncomfortably hot Breakfast poor   Spacious room and dock view from breakfast
Robert Stolz Platz 1 01 Innere Stadt 1010 Vienna Austria,299,5/3/2016,8.3,Le Meridien Vienna, Switzerland ,2,2393,13,1,3.3,"[' Leisure trip ', ' Solo traveler ', ' Classic Room with Courtyard View ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",457 day,48.2027296,16.3661211, Noise  They had a huge party was noisy the whole night extremely disappointed
4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,1444,2/16/2016,7.8,Millennium Gloucester Hotel London, United Kingdom ,78,5726,3,12,4.2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",534 day,51.4935083,-0.1834346, The club room was a really tired standard room Bed was hard and the sheets were torn booked two nights and was upgraded after they did not have outcrops available when we arrived Bathrooms old and tired black hair on bathroom floor when we arrived Avoid room 601 air con not working either in our room Mirrors in the lift were dirty someone had stuffed a tissue in the mirror and it remained there all weekend   The location
Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,211,10/12/2015,8.6,Hotel City Central, Romania ,42,2923,7,1,4.6,"[' Business trip ', ' Group ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",661 day,,, NOT a 4 hotel In fact this is a 3 star I do not know how it get 4 no swiming pool no sauna old fashioned Parking not at hotel but somewhere on the streets Some of the staff unfriendly   Normal breakfast this was good 
21 rue de Dunkerque 10th arr 75010 Paris France,740,6/17/2016,7.4,Mercure Paris Terminus Nord, Switzerland ,46,5575,0,11,4.2,"[' Leisure trip ', ' Couple ', ' Standard Room with 1 Double Bed ', ' Stayed 1 night ']",412 day,48.8794843,2.3556545, Never a 4 star this hotel is very worn out and a 2 star hotel compare to the hundred of hotels I have visited Many things were not working and the rooms were not nice old furniture and worn our carpets etc Not a recommendation No Positive
Mandeville Place Westminster Borough London W1U 2BE United Kingdom,495,11/4/2015,8.5,The Mandeville Hotel, Iceland ,37,2300,19,2,3.3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ']",638 day,51.5165165,-0.1509735, Getting a room for a single person same priceclass as the replacement according to the staff in wheelchair without being disabled but got the replacement I was originally expecting for me and my wife after complaining  WiFi the best yet The restaurant also the best Hotel Restaurant yet of very many The location superb
Schubertring 5 7 01 Innere Stadt 1010 Vienna Austria,77,3/7/2017,8.9,The Ritz Carlton Vienna, United Kingdom ,47,470,4,4,3.8,"[' Leisure trip ', ' Family with young children ', ' Deluxe Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",149 day,48.2022742,16.3762615, The general manager threatened me about reviewing the estsblishment on trip advisor wrong room given all meals were sent back at least once staff rude just don t stay here Vienna is beautiful this hotel is trading on a name it cannot live up to   It was appalling
Matrosengasse 6 8 06 Mariahilf 1060 Vienna Austria,387,7/19/2017,8.1,Leonardo Hotel Vienna, Bahrain ,5,6373,3,5,4.6,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",15 days,48.1945297,16.340327, No free WiFi   Breakfast 
75 Gower Street Camden London WC1E 6HJ United Kingdom,369,10/26/2015,6.4,Hotel Cavendish, Ireland ,238,2275,13,6,4.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",647 day,51.5220522,-0.132414, musty smell on arrival everywhere from the entrance to our room on the third floor walls ceilings needed painting dirty carpet dark dingy room dirty shower no matress cover bed matress stained dirty windows and the curtains had seen better days the bedroom carpet was really dirty and there were damp stains on the celing and walls by the windows we didnt feel like stayning at all but it was late and we had an appointment the pictures on booking com looked clean and bright but it was far from it The breakfast foom was very small and we had to wait so long for breakfast on the first morning we went without We did have a light breakfast on the second morning where the very young waitresses were helpful The man on reception on the sunday morning was not interested in my complaints and told us we had to leave by 10 30am when it clearly said 11am on the booking details When i went to pay he told me he had already taken payment by using my card details i didnt think this was usual as it had never happened before My advice would be to not stay here and its not good enough that people see a different view on the booking site we would have thought there should be inspections done on a regular basis to ensure patrons get a fair deal   We didnt like anything as our first impressions were not good 
Plaza Carlos Iba ez 3 Sants Montju c 08038 Barcelona Spain,109,9/18/2016,8.7,Hotel Miramar Barcelona GL, Netherlands ,77,977,0,11,2.5,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 2 nights ']",319 day,41.3703041,2.17141, Horrible staff They simply ly to you and do not give the booked room suite with a bath becomes normal room without a bath At the terrace it feels like you have to beg for something to drink or eat and horrible loud music until late every night The only exception is the personel at the pool and the spa they are great This was our second time en we will never come back there  No Positive
101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,8/23/2016,8.4,The Grosvenor, United States of America ,37,3274,3,1,4.2,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",345 day,51.4956657,-0.1452793, Had to take 2 separate elevators walk down 3 long hallways to get to the smallest room I have ever been in You could barely walk around the bed No room to open a suitcase   Not much
27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,1243,5/27/2016,8.1,Park Grand Paddington Court, Turkey ,12,6608,5,5,4.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",433 day,51.5135555,-0.180002, The room was very small and sheets towels were dirty   Location was good 
100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/15/2016,8.0,Doubletree by Hilton London Kensington, Malaysia ,48,2367,2,1,4.2,"[' Business trip ', ' Group ', ' Queen Guest Room ', ' Stayed 1 night ']",353 day,51.4925138,-0.1787917, The Front Office staff who checked us out 3 different rooms is not knowledgeable incapable in the individual billings I was charged twice to my credit card for one invoice FO staff needs training and be flexible to request for changes to names in the invoice   location
20 28 Bolsover Street Westminster Borough London W1W 5NB United Kingdom,261,6/3/2016,8.1,Grange Fitzrovia Hotel, United Kingdom ,24,1034,4,6,4.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",426 day,51.521759,-0.1425381, Small room foldaway bed cramped bathroom No bedside lamps or tables TV can t be seen from left hand side of bed   None really 
Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,10/18/2015,8.1,Copthorne Tara Hotel London Kensington, Israel ,7,7105,2,4,4.6,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 2 nights ']",655 day,51.499046,-0.1917073, Terrible wi fi poor quality towels  Location
18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,6/9/2016,8.3,Park Plaza London Riverbank, United Kingdom ,63,4684,2,1,2.5,"[' Leisure trip ', ' Couple ', ' Executive Double Room River View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",420 day,51.4913737,-0.1214194, Building site and noise to go with it when I paid extra for a river view executive suite Bathroom needed maintenance work to fix toilet and light fitting hanging down over bath and it smelled damp Was very expensive and I didn t get value for my money and when problems where reported no discount offered Won t be going back   Nothing
5 Curzon St Westminster Borough London W1J 5HL United Kingdom,431,12/6/2015,7.9,Washington Mayfair Hotel, United Kingdom ,21,1532,3,1,4.6,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ']",606 day,51.5060237,-0.151078, Staff seemed unwilling to help appeared to be uninterested in interacting with myself a customer overall mood was dull   Not alot
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,8/4/2016,7.1,Britannia International Hotel Canary Wharf, Australia ,69,9086,13,1,4.6,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room without Window ', ' Stayed 1 night ']",364 day,51.5019097,-0.0232208, buffet breakfast was disgusting Scrambled eggs where like porridge Apple juice was not apple juice it tasted full off sugar and colouring Over all bad way to start the day Rooms had 3 steps in them It says they have wifi on there web page it dosent say you have to sit in the foyer for free wifi or pay 7 pound per device in your room   i loved checkout knowing i was finally free off this hotel 
3 Place du G n ral Koenig 17th arr 75017 Paris France,429,4/11/2016,7.1,Hyatt Regency Paris Etoile, India ,164,3973,20,3,2.9,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",479 day,48.8802782,2.2843852, Nobody told us before check in that the hotel was under renovation and that there was too much noise all day Was given a room on 28th floor right below where rwnovatikn was happening The concierge desk guys were royally ignoring me Seemed to be the case due to my color it seems because the same guys were super attentive to Caucasians Really guys Being a luxury hotel Nobody came to pick up my luggage from reception to room and vice versa No opening of doors for you Nobody asked me for a cab when I was checking out While they were doing the same for other guests Worst services ever amongst all the hotels I have stayed in Trust me I have stayed in a lot There were other smaller things No toiletries when I checked in Two single bed blankets kept on a double bed Room service guys opening the door and coming in without knocking or ringing the bell   I don t think Anything was good considering the kind of monies we were paying for this hotel 
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,1274,3/20/2017,7.7,Grand Royale London Hyde Park, Germany ,146,6539,0,5,2.5,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",136 day,51.5109945,-0.1863417, I have booked a superior double room at Grand Royale What I have got was a two class single room in a bed and breakfast location called Shaftesbury Hyde Park International This is a bed breakfast location without any comfort the room was a single not a double room not very clean so small that I was unable to open my suitcase The heating system was off and the stuff needed two hours to put on the heating system So I have booked a superior double room at Grand Royale London Hyde Park a four stars hotel what I and another couple have got was a second standard bed breakfast two stars single room in a bed breakfast location in the same street this for a proice for a four stars hotel This is an illegal practice of the hotel which should have consequences  No Positive
2 Caxton Street Westminster Borough London SW1H 0QW United Kingdom,231,3/22/2016,8.9,St Ermin s Hotel Autograph Collection, United Kingdom ,89,857,8,2,4.2,"[' Leisure trip ', ' Solo traveler ', ' Queen Room ', ' Stayed 2 nights ']",499 day,51.498905,-0.1339093, My room on the 6th floor was adjacent to an air conditioning heating unit that emitted a loud irritating humming noise all night When I opened the window hoping to let some of the sound escape there was another even larger unit in the courtyard making an even louder noise I expect some city noise traffic people but this was dreadful I left the next day because this was unacceptable and when you consider high cost of the room you do expect to be able to sleep   The reception area was very plush 
Excel 2 Festoon Way Royal Victoria Dock Newham London E16 1RH United Kingdom,853,5/3/2017,8.4,DoubleTree By Hilton London Excel, Guernsey ,30,2726,0,1,4.6,"[' Leisure trip ', ' Group ', ' Queen Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",92 days,51.507377,0.038657, Staff were clueless tried to charge us 2 extra times for our room Very unhelpful rude and didn t understand anything had to repeat the problems 4 times  No Positive
Mallorca 181 Eixample 08036 Barcelona Spain,115,10/3/2016,8.4,Best Western Premier Hotel Dante, Algeria ,35,1130,2,1,3.8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ']",304 day,41.3894195,2.1564886, Rudest hotel staff I ve ever seen If we were not exhausted by the flight and it being 10pm we would ve fled this hotel and looked for an other one To avoid   
49 53 New Road Tower Hamlets London E1 1HH United Kingdom,187,9/4/2016,7.6,The Whitechapel, United Kingdom ,65,830,23,2,4.6,"[' Leisure trip ', ' Family with young children ', ' Premier Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",333 day,51.5161286,-0.0624458, Asked for a quiet room our room overlooked the bins for the restaurant lots of noise from midnight till 1am Air con noisy turned off but with noise outside had to keep window shut Fridge had a light on all night and noisy Beds were close to being on a bouncy castle Room was very cramped bit too cosy as a twin room   Shower wet room was good but would expect a sink in the bathroom rather than at the table by the door 
Capitan Arenas 20 Les Corts 08034 Barcelona Spain,54,4/12/2017,7.5,Arenas Atiram Hotels, Denmark ,39,779,0,1,4.2,"[' Leisure trip ', ' Couple ', ' Executive Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",113 day,41.3904305,2.1262314, I likted a staff they was nice to change our room becouse it was not nice looking room in net pic room looked better and there is no gym no sauna like it is written in net  No Positive
116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom,105,3/24/2016,8.1,The Athenaeum, Ireland ,3,364,15,1,3.3,"[' Leisure trip ', ' Group ', ' Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",497 day,51.504716,-0.1475618, As above  Pokey room alterations make access poor definitely not on my agenda for London hotels
Koninginneweg 34 36 Oud Zuid 1075 CZ Amsterdam Netherlands,313,11/22/2016,7.5,Park Plaza Vondelpark Amsterdam, United Kingdom ,203,2176,33,5,4.6,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 3 nights ']",254 day,52.3542655,4.8664365, Well firstly when we checked in they didn t have the room we had booked which was a queen size double bed room instead we were given a very grotty very small twin room their excuse well they said booking though booking com are only suggestions not guarantees but they did have nicer rooms that we could pay extra for surprise surprise After complaining the room really was very poor and not what we paid for they changed us on the second day of stay to the room we had booked a queen size double bed room Which was nice and we then thought happy days nevermind about first day mistakes happen That was until we got the bill they charged us over 25 more for the stay that what was agreed when I booked the room In short we didn t get the quality of room we d booked and on top of that they charged us a lot more for it than the price quoted when booking in fact it cost more than if i d just walked off the street and got a room I ll never stay there again and I would recommend others not to either   Nothing really stood out but to be honest because I feel ripped off by them it going to cloud my opinion on this I m sure they re not all bad 
11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,253,5/22/2017,8.1,My Bloomsbury, United Kingdom ,0,1161,11,1,4.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",73 days,51.5188555,-0.1319172,No Negative  Room was small bed was 3 4 not a double
Aldwych Westminster Borough London WC2B 4DD United Kingdom,409,3/14/2017,8.4,The Waldorf Hilton, United Kingdom ,5,1479,2,7,4.2,"[' Leisure trip ', ' Group ', ' Queen Hilton Superior Room ', ' Stayed 1 night ']",142 day,51.5131979,-0.1174504, rooms were very poor  location
64 76 Hendon Way London NW2 2NL United Kingdom,471,7/6/2017,7.9,Best Western Palm Hotel, United Kingdom ,6,2037,14,16,4.6,"[' Business trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 2 nights ']",28 days,51.5634756,-0.2042758, food could have been better  service poor booking in was slow busiest time only one person on duty
4 rue de la P pini re 8th arr 75008 Paris France,172,5/14/2016,8.8,Maison Albar Hotel Paris Op ra Diamond, Italy ,28,1524,2,6,4.6,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",446 day,,, Dusty room they don t clean your room each day unless you ask it s an hotel not a residence poor breakfast very expensive 20 euro   Position
12 Upper Woburn Place Camden London WC1H 0HX United Kingdom,398,5/2/2017,7.9,Ambassadors Bloomsbury, United Kingdom ,32,1521,6,3,4.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",93 days,51.5266618,-0.1296571, Room was very small and not worth the money that the room cost The bed was uncomfortable and noisy The pillows were also on the verge of unusable Disappointing stay   Close to Euston station 
Sloane Square Kensington and Chelsea London SW1W 8EG United Kingdom,279,10/14/2015,8.2,Sloane Square Hotel, United Arab Emirates ,48,1140,0,4,2.5,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ']",659 day,51.4927325,-0.1573708, I cancelled my stay at Sloane Square Hotel over a month before I was due to stay yet was still charged for 1 night of my 2 night stay Having stayed previously we decided to return however we are now very upset and would not return  No Positive
14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,368,1/10/2017,7.5,Saint Georges Hotel, United Kingdom ,43,2092,9,7,4.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",205 day,51.517839,-0.1424476, Reception staff when we first arrived very unwelcoming made to feel that we were being a burden booking in Other staff encountered after this woman were friendly and accommodating Hotel is very tired looking and is in need of a refurbishment   The views from bedroom and bar area 
5 More London Place Tooley Street Southwark London SE1 2BY United Kingdom,484,7/21/2017,8.7,Hilton London Tower Bridge, United Kingdom ,118,1705,0,1,4.6,"[' Leisure trip ', ' Couple ', ' Double Deluxe Room ', ' Stayed 1 night ']",13 days,51.504575,-0.082675, The breakfast was exceptionally poor Looked like a shortage of staff lead to a lack of everything Had to wait so long for the rest of breakfast to arrive that what we had already selected was cold None of the staff were friendly seemed impatient with being asked where things were The eating area looked very tired had been down graded to a cafe with wooden stirrers instead of spoons Left feeling as though we should have eaten out The pillows on the bed smelt of cigarette smoke which we would have changed had it not been so late when we realised Last time we stayed we really enjoyed it that s why we booked again  No Positive
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,2/5/2016,7.1,Britannia International Hotel Canary Wharf, United Kingdom ,67,9086,16,3,4.6,"[' Leisure trip ', ' Group ', ' Standard Double Room without Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']",545 day,51.5019097,-0.0232208, Food was dry and tasteless Beds quite uncomfortable and should be changed Sheets had holes Musty scent in the air Smells quite old No free Internet outside of the lobby which even cheaper hotels provide Everything seems to be DIY or you pay a surcharge The staff refused to help with luggage and simply point to where the elevators are There was overall no warmth   The location was the only good part of the hotel As well as the lobby
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,6/1/2016,7.7,Hotel Arena, Luxembourg ,21,1403,12,9,4.2,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",428 day,52.3605759,4.9159683, The bathroom has cristal walls and it is not comfortable at all The room size was also pretty small   Well located if you don t mind taking the train 
Rambla Catalunya 26 Eixample 08007 Barcelona Spain,112,5/7/2016,8.8,NH Collection Barcelona Gran Hotel Calder n, Russia ,33,1072,2,18,3.8,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",453 day,41.3894654,2.1662651, Terrible smell in the room out of drainage system Personal was not aware of the complimentary drinks booking was offering The management was not in a position to resolve the situation   Location
82 Gloucester Place Westminster Borough London W1U 6HN United Kingdom,204,7/18/2017,7.5,Hotel 82 London, United Kingdom ,20,1733,4,1,4.2,"[' Business trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",16 days,51.5195857,-0.1584803, It looks 4 stars I dont know how it won that It should be a hotel without star   Room was clean
75 Gower Street Camden London WC1E 6HJ United Kingdom,369,7/3/2017,6.4,Hotel Cavendish, Romania ,130,2275,0,1,3.3,"[' Business trip ', ' Couple ', ' Triple Room ', ' Stayed 2 nights ']",31 days,51.5220522,-0.132414, There was a water pump in our bathroom room 306 In the first night in only started when we turned on the hot water Second night was 3 seconds on 2 seconds off All night Couldn t sleep all night We informed the reception desk at about 8pm and asked to fix the problem or change our room We were promised the problem will be fixed When we returned there was another guy at the reception who said he did not work there and the problem was the same After a horrible night before our checking out we asked to talk to the manager but we were told he cannot be contacted because it s Saturday We want our money back 180 pounds night Can anybody help us  No Positive
Cardenal Reig 11 Les Corts 08028 Barcelona Spain,298,11/22/2015,7.7,Senator Barcelona Spa Hotel, Ireland ,5,3097,2,1,3.3,"[' With a pet ', ' Couple ', ' Triple Room 2 Adults 1 Child ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",620 day,41.3777977,2.1135971, Staff english is poor  Water
52 Chiswell Street City of London London EC1Y 4SD United Kingdom,704,4/26/2017,8.8,The Montcalm At Brewery London City, United Kingdom ,27,2617,0,4,3.8,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 2 nights ']",99 days,51.5208155,-0.0915319, Room terrible not 5 at all Location average easy to get round London with Underground anyway Noisey room Definately would not recommend or visit again  No Positive
11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,227,10/31/2015,8.0,Shepherd s Bush Boutique Hotel, United Kingdom ,134,1069,20,4,4.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",642 day,51.5054544,-0.2262216, The room was tiny for the money paid I have stayed at hotels with bigger rooms for less and in better areas I was quite annoyed because I booked the early deal pay now for two nights instead of one I realised immediately and emailed for help I was more than happy to pay up front as I wanted this but I had made a mistake with days I was told I couldn t change it and get a refund for one night I find this unhelpful and irritating as I didn t change my mind nor was I being a nuisance I realised witching 30 seconds and spoke to someone Money making is clearly important to the hotel I can see why as having been there I would not go back   The location of the hotel was ideal for shopping at Westfield and for the event we went to 
50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,417,12/20/2016,6.7,Commodore Hotel, Denmark ,32,2400,5,1,4.6,"[' Business trip ', ' Solo traveler ', ' Executive Double Room ', ' Stayed 4 nights ']",226 day,51.5124496,-0.1795215, The pictures shown at the webpage does not match the general condition of the hotel The place is worn down Breakfast was not to standards of a 4 star hotel   Location was great 
100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,12/15/2015,8.0,Doubletree by Hilton London Kensington, United Kingdom ,33,2367,5,2,3.8,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",597 day,51.4925138,-0.1787917, We were not informed on booking that there would be construction work going on so even on a Sunday there was a lot of banging going on Will not be returning   Not a lot 
